Species,Value,Date_col,Date_an,Sample_num
Nitrate-Nitrogen,166.18,12/8/2020,12/11/2020,120820Z2
Ammonia-Nitrogen,1.234,12/8/2020,12/11/2020,120820Z2
Phosphorus,49.5,12/8/2020,12/11/2020,120820Z2
Potassium,234.22,12/8/2020,12/11/2020,120820Z2
Calcium,146.04,12/8/2020,12/11/2020,120820Z2
Magnesium,45.98,12/8/2020,12/11/2020,120820Z2
Sulfate,226.62,12/8/2020,12/11/2020,120820Z2
Boron,0.39,12/8/2020,12/11/2020,120820Z2
Zinc,0.48,12/8/2020,12/11/2020,120820Z2
Manganese,0.49,12/8/2020,12/11/2020,120820Z2
Iron,2.54,12/8/2020,12/11/2020,120820Z2
Copper,0.36,12/8/2020,12/11/2020,120820Z2
Molybdenum,0.1,12/8/2020,12/11/2020,120820Z2
pH,6.5,12/8/2020,12/11/2020,120820Z2
Conductivity,1.818,12/8/2020,12/11/2020,120820Z2
Nitrate-Nitrogen,181.13,12/8/2020,12/11/2020,120820Z5
Ammonia-Nitrogen,1.48,12/8/2020,12/11/2020,120820Z5
Phosphorus,48.38,12/8/2020,12/11/2020,120820Z5
Potassium,238.98,12/8/2020,12/11/2020,120820Z5
Calcium,150.46,12/8/2020,12/11/2020,120820Z5
Magnesium,44.97,12/8/2020,12/11/2020,120820Z5
Sulfate,222.12,12/8/2020,12/11/2020,120820Z5
Boron,0.39,12/8/2020,12/11/2020,120820Z5
Zinc,0.47,12/8/2020,12/11/2020,120820Z5
Manganese,0.47,12/8/2020,12/11/2020,120820Z5
Iron,2.51,12/8/2020,12/11/2020,120820Z5
Copper,0.36,12/8/2020,12/11/2020,120820Z5
Molybdenum,0.1,12/8/2020,12/11/2020,120820Z5
pH,6.5,12/8/2020,12/11/2020,120820Z5
Conductivity,1.858,12/8/2020,12/11/2020,120820Z5
Nitrate-Nitrogen,202.1,12/8/2020,12/11/2020,120820TP
Ammonia-Nitrogen,6.72,12/8/2020,12/11/2020,120820TP
Phosphorus,24.48,12/8/2020,12/11/2020,120820TP
Potassium,171.55,12/8/2020,12/11/2020,120820TP
Calcium,171.93,12/8/2020,12/11/2020,120820TP
Magnesium,46.58,12/8/2020,12/11/2020,120820TP
Sulfate,179.01,12/8/2020,12/11/2020,120820TP
Boron,0.43,12/8/2020,12/11/2020,120820TP
Zinc,0.27,12/8/2020,12/11/2020,120820TP
Manganese,0.6,12/8/2020,12/11/2020,120820TP
Iron,2,12/8/2020,12/11/2020,120820TP
Copper,0.47,12/8/2020,12/11/2020,120820TP
Molybdenum,0.21,12/8/2020,12/11/2020,120820TP
pH,6.4,12/8/2020,12/11/2020,120820TP
Conductivity,1.934,12/8/2020,12/11/2020,120820TP
Nitrate-Nitrogen,147.55,4/2/2021,4/6/2021,kalera1
Ammonia-Nitrogen,0.01,4/2/2021,4/6/2021,kalera1
Phosphorus,20.45,4/2/2021,4/6/2021,kalera1
Potassium,0.04,4/2/2021,4/6/2021,kalera1
Calcium,193.18,4/2/2021,4/6/2021,kalera1
Magnesium,49.19,4/2/2021,4/6/2021,kalera1
Sulfate,220.32,4/2/2021,4/6/2021,kalera1
Boron,0.35,4/2/2021,4/6/2021,kalera1
Zinc,0.01,4/2/2021,4/6/2021,kalera1
Manganese,0.13,4/2/2021,4/6/2021,kalera1
Iron,2.32,4/2/2021,4/6/2021,kalera1
Copper,0.67,4/2/2021,4/6/2021,kalera1
pH,6.6,4/2/2021,4/6/2021,kalera1
Nitrate-Nitrogen,169.4,4/2/2021,4/6/2021,kalera2
Ammonia-Nitrogen,13.67,4/2/2021,4/6/2021,kalera2
Phosphorus,18.6,4/2/2021,4/6/2021,kalera2
Potassium,110.32,4/2/2021,4/6/2021,kalera2
Calcium,148.75,4/2/2021,4/6/2021,kalera2
Magnesium,27.34,4/2/2021,4/6/2021,kalera2
Sulfate,102.37,4/2/2021,4/6/2021,kalera2
Boron,0.21,4/2/2021,4/6/2021,kalera2
Zinc,0.01,4/2/2021,4/6/2021,kalera2
Manganese,0.31,4/2/2021,4/6/2021,kalera2
Iron,1.68,4/2/2021,4/6/2021,kalera2
Copper,0.47,4/2/2021,4/6/2021,kalera2
pH,6.2,4/2/2021,4/6/2021,kalera2
Nitrate-Nitrogen,212.5,4/12/2021,4/13/2021,kalera1
Ammonia-Nitrogen,6.92,4/12/2021,4/13/2021,kalera1
Phosphorus,23.37,4/12/2021,4/13/2021,kalera1
Potassium,117.55,4/12/2021,4/13/2021,kalera1
Calcium,152.68,4/12/2021,4/13/2021,kalera1
Magnesium,33.62,4/12/2021,4/13/2021,kalera1
Sulfate,127.21,4/12/2021,4/13/2021,kalera1
Boron,0.26,4/12/2021,4/13/2021,kalera1
Zinc,0.01,4/12/2021,4/13/2021,kalera1
Manganese,0.38,4/12/2021,4/13/2021,kalera1
Iron,1.96,4/12/2021,4/13/2021,kalera1
Copper,0.35,4/12/2021,4/13/2021,kalera1
Molybdenum,0.08,4/12/2021,4/13/2021,kalera1
pH,7.1,4/12/2021,4/13/2021,kalera1
Nitrate-Nitrogen,221.43,4/12/2021,4/13/2021,kalera2
Ammonia-Nitrogen,0.01,4/12/2021,4/13/2021,kalera2
Phosphorus,32.98,4/12/2021,4/13/2021,kalera2
Potassium,101.19,4/12/2021,4/13/2021,kalera2
Calcium,159.73,4/12/2021,4/13/2021,kalera2
Magnesium,30.37,4/12/2021,4/13/2021,kalera2
Sulfate,109.35,4/12/2021,4/13/2021,kalera2
Boron,0.22,4/12/2021,4/13/2021,kalera2
Zinc,0.01,4/12/2021,4/13/2021,kalera2
Manganese,0.2,4/12/2021,4/13/2021,kalera2
Iron,1.77,4/12/2021,4/13/2021,kalera2
Copper,0.51,4/12/2021,4/13/2021,kalera2
Molybdenum,0.11,4/12/2021,4/13/2021,kalera2
pH,6.2,4/12/2021,4/13/2021,kalera2
Nitrate-Nitrogen,149.25,4/19/2021,4/21/2021,kalera1
Ammonia-Nitrogen,0.01,4/19/2021,4/21/2021,kalera1
Phosphorus,35.78,4/19/2021,4/21/2021,kalera1
Potassium,143.29,4/19/2021,4/21/2021,kalera1
Calcium,150.74,4/19/2021,4/21/2021,kalera1
Magnesium,35.31,4/19/2021,4/21/2021,kalera1
Sulfate,127.9,4/19/2021,4/21/2021,kalera1
Boron,0.25,4/19/2021,4/21/2021,kalera1
Zinc,0.01,4/19/2021,4/21/2021,kalera1
Manganese,0.11,4/19/2021,4/21/2021,kalera1
Iron,1.6,4/19/2021,4/21/2021,kalera1
Copper,0.37,4/19/2021,4/21/2021,kalera1
Molybdenum,0.05,4/19/2021,4/21/2021,kalera1
pH,6.1,4/19/2021,4/21/2021,kalera1
Nitrate-Nitrogen,156.73,4/19/2021,4/21/2021,kalera2
Ammonia-Nitrogen,0.11,4/19/2021,4/21/2021,kalera2
Phosphorus,27.74,4/19/2021,4/21/2021,kalera2
Potassium,69.33,4/19/2021,4/21/2021,kalera2
Calcium,187,4/19/2021,4/21/2021,kalera2
Magnesium,37.54,4/19/2021,4/21/2021,kalera2
Sulfate,134.94,4/19/2021,4/21/2021,kalera2
Boron,0.27,4/19/2021,4/21/2021,kalera2
Zinc,0.01,4/19/2021,4/21/2021,kalera2
Manganese,0.17,4/19/2021,4/21/2021,kalera2
Iron,2.24,4/19/2021,4/21/2021,kalera2
Copper,0.62,4/19/2021,4/21/2021,kalera2
Molybdenum,0.09,4/19/2021,4/21/2021,kalera2
pH,6.3,4/19/2021,4/21/2021,kalera2
Nitrate-Nitrogen,158.13,5/3/2021,5/5/2021,kalera1
Ammonia-Nitrogen,0.06,5/3/2021,5/5/2021,kalera1
Phosphorus,29.14,5/3/2021,5/5/2021,kalera1
Potassium,25.39,5/3/2021,5/5/2021,kalera1
Calcium,189.91,5/3/2021,5/5/2021,kalera1
Magnesium,44.18,5/3/2021,5/5/2021,kalera1
Sulfate,165.41,5/3/2021,5/5/2021,kalera1
Boron,0.28,5/3/2021,5/5/2021,kalera1
Zinc,0.12,5/3/2021,5/5/2021,kalera1
Manganese,0.05,5/3/2021,5/5/2021,kalera1
Iron,1.63,5/3/2021,5/5/2021,kalera1
Copper,0.52,5/3/2021,5/5/2021,kalera1
Molybdenum,0.08,5/3/2021,5/5/2021,kalera1
pH,6.2,5/3/2021,5/5/2021,kalera1
Nitrate-Nitrogen,161.15,5/3/2021,5/5/2021,kalera2
Ammonia-Nitrogen,6.51,5/3/2021,5/5/2021,kalera2
Phosphorus,27.01,5/3/2021,5/5/2021,kalera2
Potassium,126.74,5/3/2021,5/5/2021,kalera2
Calcium,163.76,5/3/2021,5/5/2021,kalera2
Magnesium,40.63,5/3/2021,5/5/2021,kalera2
Sulfate,149.14,5/3/2021,5/5/2021,kalera2
Boron,0.3,5/3/2021,5/5/2021,kalera2
Zinc,0.06,5/3/2021,5/5/2021,kalera2
Manganese,0.31,5/3/2021,5/5/2021,kalera2
Iron,1.72,5/3/2021,5/5/2021,kalera2
Copper,0.48,5/3/2021,5/5/2021,kalera2
Molybdenum,0.08,5/3/2021,5/5/2021,kalera2
pH,6,5/3/2021,5/5/2021,kalera2
Nitrate-Nitrogen,198.28,5/10/2021,5/14/2021,kalera1
Ammonia-Nitrogen,0.06,5/10/2021,5/14/2021,kalera1
Phosphorus,18.07,5/10/2021,5/14/2021,kalera1
Potassium,35.03,5/10/2021,5/14/2021,kalera1
Calcium,224.09,5/10/2021,5/14/2021,kalera1
Magnesium,50.52,5/10/2021,5/14/2021,kalera1
Sulfate,207.74,5/10/2021,5/14/2021,kalera1
Boron,0.34,5/10/2021,5/14/2021,kalera1
Zinc,0.67,5/10/2021,5/14/2021,kalera1
Manganese,0.32,5/10/2021,5/14/2021,kalera1
Iron,1.95,5/10/2021,5/14/2021,kalera1
Copper,0.69,5/10/2021,5/14/2021,kalera1
Molybdenum,0.1,5/10/2021,5/14/2021,kalera1
pH,6,5/10/2021,5/14/2021,kalera1
Nitrate-Nitrogen,198.28,5/10/2021,5/14/2021,kalera2
Ammonia-Nitrogen,0.06,5/10/2021,5/14/2021,kalera2
Phosphorus,23.25,5/10/2021,5/14/2021,kalera2
Potassium,110.18,5/10/2021,5/14/2021,kalera2
Calcium,177.25,5/10/2021,5/14/2021,kalera2
Magnesium,45.53,5/10/2021,5/14/2021,kalera2
Sulfate,159.48,5/10/2021,5/14/2021,kalera2
Boron,0.32,5/10/2021,5/14/2021,kalera2
Zinc,0.74,5/10/2021,5/14/2021,kalera2
Manganese,0.38,5/10/2021,5/14/2021,kalera2
Iron,1.87,5/10/2021,5/14/2021,kalera2
Copper,0.52,5/10/2021,5/14/2021,kalera2
Molybdenum,0.07,5/10/2021,5/14/2021,kalera2
pH,6.1,5/10/2021,5/14/2021,kalera2
Nitrate-Nitrogen,188.83,5/14/2021,5/14/2021,kalera2
Ammonia-Nitrogen,0.06,5/14/2021,5/14/2021,kalera2
Phosphorus,18.99,5/14/2021,5/14/2021,kalera2
Potassium,19.93,5/14/2021,5/14/2021,kalera2
Calcium,216.73,5/14/2021,5/14/2021,kalera2
Magnesium,57.84,5/14/2021,5/14/2021,kalera2
Sulfate,213.46,5/14/2021,5/14/2021,kalera2
Boron,0.39,5/14/2021,5/14/2021,kalera2
Zinc,1.01,5/14/2021,5/14/2021,kalera2
Manganese,0.46,5/14/2021,5/14/2021,kalera2
Iron,2.14,5/14/2021,5/14/2021,kalera2
Copper,0.73,5/14/2021,5/14/2021,kalera2
Molybdenum,0.1,5/14/2021,5/14/2021,kalera2
pH,6,5/14/2021,5/14/2021,kalera2
Nitrate-Nitrogen,134.3,5/14/2021,5/14/2021,kalera3
Ammonia-Nitrogen,7.56,5/14/2021,5/14/2021,kalera3
Phosphorus,26.46,5/14/2021,5/14/2021,kalera3
Potassium,113.65,5/14/2021,5/14/2021,kalera3
Calcium,140.2,5/14/2021,5/14/2021,kalera3
Magnesium,39.27,5/14/2021,5/14/2021,kalera3
Sulfate,139.88,5/14/2021,5/14/2021,kalera3
Boron,0.29,5/14/2021,5/14/2021,kalera3
Zinc,0.22,5/14/2021,5/14/2021,kalera3
Manganese,0.61,5/14/2021,5/14/2021,kalera3
Iron,1.61,5/14/2021,5/14/2021,kalera3
Copper,0.34,5/14/2021,5/14/2021,kalera3
Molybdenum,0.08,5/14/2021,5/14/2021,kalera3
pH,6.2,5/14/2021,5/14/2021,kalera3
Nitrate-Nitrogen,177.95,5/24/2021,5/25/2021,kalera3
Ammonia-Nitrogen,3.23,5/24/2021,5/25/2021,kalera3
Phosphorus,25.68,5/24/2021,5/25/2021,kalera3
Potassium,138.03,5/24/2021,5/25/2021,kalera3
Calcium,142.95,5/24/2021,5/25/2021,kalera3
Magnesium,39.62,5/24/2021,5/25/2021,kalera3
Sulfate,139.31,5/24/2021,5/25/2021,kalera3
Boron,0.28,5/24/2021,5/25/2021,kalera3
Zinc,0.03,5/24/2021,5/25/2021,kalera3
Manganese,0.34,5/24/2021,5/25/2021,kalera3
Iron,1.65,5/24/2021,5/25/2021,kalera3
Copper,0.38,5/24/2021,5/25/2021,kalera3
Molybdenum,0.09,5/24/2021,5/25/2021,kalera3
pH,6,5/24/2021,5/25/2021,kalera3
Nitrate-Nitrogen,163.23,6/1/2021,6/2/2021,kalera1
Ammonia-Nitrogen,5.98,6/1/2021,6/2/2021,kalera1
Phosphorus,29.75,6/1/2021,6/2/2021,kalera1
Potassium,155.36,6/1/2021,6/2/2021,kalera1
Calcium,156.53,6/1/2021,6/2/2021,kalera1
Magnesium,43.72,6/1/2021,6/2/2021,kalera1
Sulfate,158.25,6/1/2021,6/2/2021,kalera1
Boron,0.33,6/1/2021,6/2/2021,kalera1
Zinc,0.05,6/1/2021,6/2/2021,kalera1
Manganese,0.29,6/1/2021,6/2/2021,kalera1
Iron,1.43,6/1/2021,6/2/2021,kalera1
Copper,0.43,6/1/2021,6/2/2021,kalera1
Molybdenum,0.1,6/1/2021,6/2/2021,kalera1
pH,6,6/1/2021,6/2/2021,kalera1
Nitrate-Nitrogen,175,6/1/2021,6/2/2021,kalera3
Ammonia-Nitrogen,0.01,6/1/2021,6/2/2021,kalera3
Phosphorus,21.72,6/1/2021,6/2/2021,kalera3
Potassium,141.2,6/1/2021,6/2/2021,kalera3
Calcium,150.67,6/1/2021,6/2/2021,kalera3
Magnesium,42.36,6/1/2021,6/2/2021,kalera3
Sulfate,150.4,6/1/2021,6/2/2021,kalera3
Boron,0.32,6/1/2021,6/2/2021,kalera3
Zinc,0.26,6/1/2021,6/2/2021,kalera3
Manganese,0.38,6/1/2021,6/2/2021,kalera3
Iron,1.56,6/1/2021,6/2/2021,kalera3
Copper,0.39,6/1/2021,6/2/2021,kalera3
Molybdenum,0.08,6/1/2021,6/2/2021,kalera3
pH,6.4,6/1/2021,6/2/2021,kalera3
Nitrate-Nitrogen,186.48,6/7/2021,6/14/2021,kalera1
Ammonia-Nitrogen,0.01,6/7/2021,6/14/2021,kalera1
Phosphorus,26.49,6/7/2021,6/14/2021,kalera1
Potassium,174.05,6/7/2021,6/14/2021,kalera1
Calcium,177.32,6/7/2021,6/14/2021,kalera1
Magnesium,50.35,6/7/2021,6/14/2021,kalera1
Sulfate,180.48,6/7/2021,6/14/2021,kalera1
Boron,0.33,6/7/2021,6/14/2021,kalera1
Zinc,0.25,6/7/2021,6/14/2021,kalera1
Manganese,0.36,6/7/2021,6/14/2021,kalera1
Iron,1.56,6/7/2021,6/14/2021,kalera1
Copper,0.53,6/7/2021,6/14/2021,kalera1
Molybdenum,0.05,6/7/2021,6/14/2021,kalera1
pH,6.1,6/7/2021,6/14/2021,kalera1
Nitrate-Nitrogen,198.9,6/7/2021,6/14/2021,kalera2
Ammonia-Nitrogen,4.03,6/7/2021,6/14/2021,kalera2
Phosphorus,30.85,6/7/2021,6/14/2021,kalera2
Potassium,178.82,6/7/2021,6/14/2021,kalera2
Calcium,178.99,6/7/2021,6/14/2021,kalera2
Magnesium,53.64,6/7/2021,6/14/2021,kalera2
Sulfate,191.44,6/7/2021,6/14/2021,kalera2
Boron,0.38,6/7/2021,6/14/2021,kalera2
Zinc,0.32,6/7/2021,6/14/2021,kalera2
Manganese,0.19,6/7/2021,6/14/2021,kalera2
Iron,1.62,6/7/2021,6/14/2021,kalera2
Copper,0.64,6/7/2021,6/14/2021,kalera2
Molybdenum,0.07,6/7/2021,6/14/2021,kalera2
pH,5.8,6/7/2021,6/14/2021,kalera2
Nitrate-Nitrogen,204.43,6/7/2021,6/14/2021,kalera3
Ammonia-Nitrogen,0.02,6/7/2021,6/14/2021,kalera3
Phosphorus,17.44,6/7/2021,6/14/2021,kalera3
Potassium,165.44,6/7/2021,6/14/2021,kalera3
Calcium,184.08,6/7/2021,6/14/2021,kalera3
Magnesium,53.97,6/7/2021,6/14/2021,kalera3
Sulfate,198.96,6/7/2021,6/14/2021,kalera3
Boron,0.36,6/7/2021,6/14/2021,kalera3
Zinc,0.54,6/7/2021,6/14/2021,kalera3
Manganese,0.36,6/7/2021,6/14/2021,kalera3
Iron,1.97,6/7/2021,6/14/2021,kalera3
Copper,0.58,6/7/2021,6/14/2021,kalera3
Molybdenum,0.08,6/7/2021,6/14/2021,kalera3
pH,6.1,6/7/2021,6/14/2021,kalera3
