HAT,11/5/2020,Ammonia (N),0.108449057
HAT,11/5/2020,Nitrate-Nitrite (N),0.072786526
HAT,11/5/2020,Orthophosphate (P),0.071530866
HAT,10/22/2020,Ammonia (N),0.017558316
HAT,10/22/2020,Nitrate-Nitrite (N),0.037253617
HAT,10/22/2020,Orthophosphate (P),0.106957941
HAT,10/8/2020,Ammonia (N),0.027432101
HAT,10/8/2020,Nitrate-Nitrite (N),0.053444233
HAT,10/8/2020,Orthophosphate (P),0.069682892
HAT,9/10/2020,Ammonia (N),0.021232153
HAT,9/10/2020,Nitrate-Nitrite (N),0.037506128
HAT,9/10/2020,Orthophosphate (P),0.099366757
HAT,8/24/2020,Ammonia (N),0.016837803
HAT,8/24/2020,Nitrate-Nitrite (N),0.014086754
HAT,8/24/2020,Orthophosphate (P),0.16774969
HAT,8/14/2020,Ammonia (N),0.110989659
HAT,8/14/2020,Nitrate-Nitrite (N),0.052136398
HAT,8/14/2020,Orthophosphate (P),0.163838414
HAT,7/28/2020,Ammonia (N),0.139659083
HAT,7/28/2020,Nitrate-Nitrite (N),0.148140528
HAT,7/28/2020,Orthophosphate (P),0.12965646
HAT,7/16/2020,Ammonia (N),0.010523756
HAT,7/16/2020,Nitrate-Nitrite (N),0.096144459
HAT,7/16/2020,Orthophosphate (P),0.079515707
HAT,6/26/2020,Ammonia (N),0.198485209
HAT,6/26/2020,Nitrate-Nitrite (N),0.049613899
HAT,6/26/2020,Orthophosphate (P),0.080980542
HAT,3/12/2020,Ammonia (N),0.211481076
HAT,3/12/2020,Nitrate-Nitrite (N),0.028631066
HAT,3/12/2020,Orthophosphate (P),0.109926647
HAT,2/28/2020,Ammonia (N),0.024624505
HAT,2/28/2020,Nitrate-Nitrite (N),0.0015
HAT,2/28/2020,Orthophosphate (P),0.09543639
HAT,2/12/2020,Ammonia (N),0.027165116
HAT,2/12/2020,Nitrate-Nitrite (N),0.015718177
HAT,2/12/2020,Orthophosphate (P),0.097259147
HAT,1/10/2020,Ammonia (N),0.008278148
HAT,1/10/2020,Nitrate-Nitrite (N),0.0015
HAT,1/10/2020,Orthophosphate (P),0.047892971
HAT,12/17/2019,Ammonia (N),0.004
HAT,12/17/2019,Nitrate-Nitrite (N),0.04285312
HAT,12/17/2019,Orthophosphate (P),0.129354601
HAT,11/20/2019,Ammonia (N),0.004
HAT,11/20/2019,Nitrate-Nitrite (N),0.060857631
HAT,11/20/2019,Orthophosphate (P),0.094475319
HAT,11/6/2019,Ammonia (N),0.012658768
HAT,11/6/2019,Nitrate-Nitrite (N),0.056062853
HAT,11/6/2019,Orthophosphate (P),0.09860677
HAT,10/23/2019,Ammonia (N),0.004
HAT,10/23/2019,Nitrate-Nitrite (N),0.070823388
HAT,10/23/2019,Orthophosphate (P),0.145860239
HAT,10/9/2019,Ammonia (N),0.004
HAT,10/9/2019,Nitrate-Nitrite (N),0.0015
HAT,10/9/2019,Orthophosphate (P),0.117658193
HAT,9/25/2019,Ammonia (N),0.004
HAT,9/25/2019,Nitrate-Nitrite (N),0.100238399
HAT,9/25/2019,Orthophosphate (P),0.104097178
HAT,9/11/2019,Ammonia (N),0.004
HAT,9/11/2019,Nitrate-Nitrite (N),0.091246753
HAT,9/11/2019,Orthophosphate (P),0.081350544
HAT,8/28/2019,Ammonia (N),0.00286954
HAT,8/28/2019,Nitrate-Nitrite (N),0.0015
HAT,8/28/2019,Orthophosphate (P),0.080236457
HAT,8/14/2019,Ammonia (N),0.022744659
HAT,8/14/2019,Nitrate-Nitrite (N),0.095595117
HAT,8/14/2019,Orthophosphate (P),0.027388728
HAT,7/29/2019,Ammonia (N),0.004
HAT,7/29/2019,Nitrate-Nitrite (N),0.049632143
HAT,7/29/2019,Orthophosphate (P),0.018088271
HAT,7/9/2019,Ammonia (N),0.01989755
HAT,7/9/2019,Nitrate-Nitrite (N),0.099610019
HAT,7/9/2019,Orthophosphate (P),0.104625951
HAT,6/18/2019,Ammonia (N),0.004
HAT,6/18/2019,Nitrate-Nitrite (N),0.126158535
HAT,6/18/2019,Orthophosphate (P),0.171791865
HAT,6/6/2019,Ammonia (N),0.012094518
HAT,6/6/2019,Nitrate-Nitrite (N),0.007537459
HAT,6/6/2019,Orthophosphate (P),0.300725437
HAT,5/24/2019,Ammonia (N),0.287302893
HAT,5/24/2019,Nitrate-Nitrite (N),0.047062508
HAT,5/24/2019,Orthophosphate (P),0.141272803
HAT,5/7/2019,Ammonia (N),0.170017582
HAT,5/7/2019,Nitrate-Nitrite (N),0.090427513
HAT,5/7/2019,Orthophosphate (P),0.112113871
HAT,4/24/2019,Ammonia (N),0.011837411
HAT,4/24/2019,Nitrate-Nitrite (N),0.082494986
HAT,4/24/2019,Orthophosphate (P),0.140891188
HAT,4/3/2019,Ammonia (N),0.268670452
HAT,4/3/2019,Nitrate-Nitrite (N),0.090630674
HAT,4/3/2019,Orthophosphate (P),0.159448409
HAT,3/22/2019,Ammonia (N),1.13473527
HAT,3/22/2019,Nitrate-Nitrite (N),0.093439079
HAT,3/22/2019,Orthophosphate (P),0.120361491
HAT,2/20/2019,Ammonia (N),0.089939177
HAT,2/20/2019,Nitrate-Nitrite (N),0.049764958
HAT,2/20/2019,Orthophosphate (P),0.08581405
HAT,2/6/2019,Ammonia (N),0.410994029
HAT,2/6/2019,Nitrate-Nitrite (N),0.018542295
HAT,2/6/2019,Orthophosphate (P),0.06088583
HAT,1/25/2019,Ammonia (N),0.01029808
HAT,1/25/2019,Nitrate-Nitrite (N),0.017435434
HAT,1/25/2019,Orthophosphate (P),0.102733338
HAT,1/18/2019,Ammonia (N),0.265256002
HAT,1/18/2019,Nitrate-Nitrite (N),0.032732687
HAT,1/18/2019,Orthophosphate (P),0.065443278
HAT,1/4/2019,Ammonia (N),0.017150835
HAT,1/4/2019,Nitrate-Nitrite (N),0.022898304
HAT,1/4/2019,Orthophosphate (P),0.05534481
HAT,12/20/2018,Ammonia (N),0.283476349
HAT,12/20/2018,Nitrate-Nitrite (N),0.088811298
HAT,12/20/2018,Orthophosphate (P),0.258076359
HAT,12/5/2018,Ammonia (N),0.008691157
HAT,12/5/2018,Nitrate-Nitrite (N),0.057913344
HAT,12/5/2018,Orthophosphate (P),0.575079236
HAT,11/29/2018,Ammonia (N),0.118133328
HAT,11/29/2018,Nitrate-Nitrite (N),0.057468702
HAT,11/29/2018,Orthophosphate (P),0.222159124
HAT,11/13/2018,Ammonia (N),0.091148787
HAT,11/13/2018,Nitrate-Nitrite (N),0.110586799
HAT,11/13/2018,Orthophosphate (P),0.215538336
HAT,11/8/2018,Ammonia (N),0.078749416
HAT,11/8/2018,Nitrate-Nitrite (N),0.135545378
HAT,11/8/2018,Orthophosphate (P),0.224899523
HAT,10/31/2018,Ammonia (N),0.207266541
HAT,10/31/2018,Nitrate-Nitrite (N),0.20771115
HAT,10/31/2018,Orthophosphate (P),0.235731097
HAT,10/18/2018,Ammonia (N),0.125190779
HAT,10/18/2018,Nitrate-Nitrite (N),0.185678457
HAT,10/18/2018,Orthophosphate (P),0.205612092
HAT,9/14/2018,Ammonia (N),0.237706511
HAT,9/14/2018,Nitrate-Nitrite (N),0.069039773
HAT,9/14/2018,Orthophosphate (P),0.104621817
HOGDN,11/5/2020,Ammonia (N),0.093438545
HOGDN,11/5/2020,Nitrate-Nitrite (N),0.25434137
HOGDN,11/5/2020,Orthophosphate (P),0.499433832
HOGDN,10/22/2020,Ammonia (N),0.03337575
HOGDN,10/22/2020,Nitrate-Nitrite (N),0.040627835
HOGDN,10/22/2020,Orthophosphate (P),0.569555813
HOGDN,10/8/2020,Ammonia (N),0.026887548
HOGDN,10/8/2020,Nitrate-Nitrite (N),0.13339733
HOGDN,10/8/2020,Orthophosphate (P),0.618229788
HOGDN,9/10/2020,Ammonia (N),0.007133357
HOGDN,9/10/2020,Nitrate-Nitrite (N),0.046914199
HOGDN,9/10/2020,Orthophosphate (P),0.349057628
HOGDN,8/24/2020,Ammonia (N),0.017890737
HOGDN,8/24/2020,Nitrate-Nitrite (N),0.05942377
HOGDN,8/24/2020,Orthophosphate (P),0.631870027
HOGDN,8/14/2020,Ammonia (N),0.104686248
HOGDN,8/14/2020,Nitrate-Nitrite (N),0.290190215
HOGDN,8/14/2020,Orthophosphate (P),0.661834245
HOGDN,7/28/2020,Ammonia (N),0.107070292
HOGDN,7/28/2020,Nitrate-Nitrite (N),0.325615728
HOGDN,7/28/2020,Orthophosphate (P),0.588000088
HOGDN,7/16/2020,Ammonia (N),0.011876873
HOGDN,7/16/2020,Nitrate-Nitrite (N),0.162743322
HOGDN,7/16/2020,Orthophosphate (P),0.336730892
HOGDN,6/26/2020,Ammonia (N),0.19399159
HOGDN,6/26/2020,Nitrate-Nitrite (N),0.269494424
HOGDN,6/26/2020,Orthophosphate (P),0.683567442
HOGDN,3/12/2020,Ammonia (N),0.181505165
HOGDN,3/12/2020,Nitrate-Nitrite (N),0.260944978
HOGDN,3/12/2020,Orthophosphate (P),0.711464907
HOGDN,2/28/2020,Ammonia (N),0.021825129
HOGDN,2/28/2020,Nitrate-Nitrite (N),0.031553265
HOGDN,2/28/2020,Orthophosphate (P),0.462264001
HOGDN,2/12/2020,Ammonia (N),0.032398545
HOGDN,2/12/2020,Nitrate-Nitrite (N),0.120623192
HOGDN,2/12/2020,Orthophosphate (P),0.745753402
HOGDN,1/10/2020,Ammonia (N),0.004
HOGDN,1/10/2020,Nitrate-Nitrite (N),0.187889753
HOGDN,1/10/2020,Orthophosphate (P),0.470975414
HOGDN,12/17/2019,Ammonia (N),0.004
HOGDN,12/17/2019,Nitrate-Nitrite (N),0.055328719
HOGDN,12/17/2019,Orthophosphate (P),0.750058729
HOGDN,11/20/2019,Ammonia (N),0.004
HOGDN,11/20/2019,Nitrate-Nitrite (N),0.321168366
HOGDN,11/20/2019,Orthophosphate (P),0.445824429
HOGDN,11/6/2019,Ammonia (N),0.024012618
HOGDN,11/6/2019,Nitrate-Nitrite (N),0.25987479
HOGDN,11/6/2019,Orthophosphate (P),0.645881878
HOGDN,10/23/2019,Ammonia (N),0.004
HOGDN,10/23/2019,Nitrate-Nitrite (N),0.071222136
HOGDN,10/23/2019,Orthophosphate (P),0.56593281
HOGDN,10/9/2019,Ammonia (N),0.004
HOGDN,10/9/2019,Nitrate-Nitrite (N),0.0015
HOGDN,10/9/2019,Orthophosphate (P),0.477488175
HOGDN,9/25/2019,Ammonia (N),0.011379997
HOGDN,9/25/2019,Nitrate-Nitrite (N),0.294221309
HOGDN,9/25/2019,Orthophosphate (P),0.63214169
HOGDN,9/11/2019,Ammonia (N),0.004
HOGDN,9/11/2019,Nitrate-Nitrite (N),0.164701015
HOGDN,9/11/2019,Orthophosphate (P),0.579655119
HOGDN,8/28/2019,Ammonia (N),0.004
HOGDN,8/28/2019,Nitrate-Nitrite (N),0.042214922
HOGDN,8/28/2019,Orthophosphate (P),0.46430432
HOGDN,8/14/2019,Ammonia (N),0.011415946
HOGDN,8/14/2019,Nitrate-Nitrite (N),0.09869771
HOGDN,8/14/2019,Orthophosphate (P),0.56630074
HOGDN,7/29/2019,Ammonia (N),0.004
HOGDN,7/29/2019,Nitrate-Nitrite (N),0.083378574
HOGDN,7/29/2019,Orthophosphate (P),0.546496909
HOGDN,7/9/2019,Ammonia (N),0.012148411
HOGDN,7/9/2019,Nitrate-Nitrite (N),0.220814657
HOGDN,7/9/2019,Orthophosphate (P),0.635658794
HOGDN,6/18/2019,Ammonia (N),0.004
HOGDN,6/18/2019,Nitrate-Nitrite (N),0.055408491
HOGDN,6/18/2019,Orthophosphate (P),0.475251706
HOGDN,6/6/2019,Ammonia (N),0.011584004
HOGDN,6/6/2019,Nitrate-Nitrite (N),0.12175587
HOGDN,6/6/2019,Orthophosphate (P),0.247162529
HOGDN,5/24/2019,Ammonia (N),0.047652133
HOGDN,5/24/2019,Nitrate-Nitrite (N),0.362866471
HOGDN,5/24/2019,Orthophosphate (P),0.632848522
HOGDN,5/7/2019,Ammonia (N),0.034060651
HOGDN,5/7/2019,Nitrate-Nitrite (N),0.193781514
HOGDN,5/7/2019,Orthophosphate (P),0.684602781
HOGDN,4/24/2019,Ammonia (N),0.004
HOGDN,4/24/2019,Nitrate-Nitrite (N),0.330136387
HOGDN,4/24/2019,Orthophosphate (P),0.629537125
HOGDN,4/3/2019,Ammonia (N),1.094257078
HOGDN,4/3/2019,Nitrate-Nitrite (N),0.181294381
HOGDN,4/3/2019,Orthophosphate (P),0.505940426
HOGDN,3/22/2019,Orthophosphate (P),0.612246183
HOGDN,2/20/2019,Ammonia (N),0.154356152
HOGDN,2/20/2019,Nitrate-Nitrite (N),0.297930323
HOGDN,2/20/2019,Orthophosphate (P),0.646733307
HOGDN,2/6/2019,Ammonia (N),0.627595189
HOGDN,2/6/2019,Nitrate-Nitrite (N),0.063494401
HOGDN,2/6/2019,Orthophosphate (P),0.475369076
HOGDN,1/25/2019,Ammonia (N),0.004
HOGDN,1/25/2019,Nitrate-Nitrite (N),0.029769333
HOGDN,1/25/2019,Orthophosphate (P),0.319414223
HOGDN,1/18/2019,Ammonia (N),0.191170648
HOGDN,1/18/2019,Nitrate-Nitrite (N),0.246834403
HOGDN,1/18/2019,Orthophosphate (P),0.394245073
HOGDN,1/4/2019,Ammonia (N),0.025473338
HOGDN,1/4/2019,Nitrate-Nitrite (N),0.131289339
HOGDN,1/4/2019,Orthophosphate (P),0.586027233
HOGDN,12/20/2018,Ammonia (N),0.197354328
HOGDN,12/20/2018,Nitrate-Nitrite (N),0.0015
HOGDN,12/20/2018,Orthophosphate (P),0.05407559
HOGDN,12/5/2018,Ammonia (N),0.028842979
HOGDN,12/5/2018,Nitrate-Nitrite (N),0.044669008
HOGDN,12/5/2018,Orthophosphate (P),0.187870028
HOGDN,11/29/2018,Ammonia (N),0.237321316
HOGDN,11/29/2018,Nitrate-Nitrite (N),0.225989092
HOGDN,11/29/2018,Orthophosphate (P),0.60459118
HOGDN,11/13/2018,Ammonia (N),0.030257438
HOGDN,11/13/2018,Nitrate-Nitrite (N),0.197906138
HOGDN,11/13/2018,Orthophosphate (P),0.814121652
HOGDN,11/8/2018,Ammonia (N),0.127485484
HOGDN,11/8/2018,Nitrate-Nitrite (N),0.347111001
HOGDN,11/8/2018,Orthophosphate (P),0.807209472
HOGDN,10/31/2018,Ammonia (N),0.244959955
HOGDN,10/31/2018,Nitrate-Nitrite (N),0.422370714
HOGDN,10/31/2018,Orthophosphate (P),0.677986136
HOGDN,10/18/2018,Ammonia (N),0.104001919
HOGDN,10/18/2018,Nitrate-Nitrite (N),0.217878717
HOGDN,10/18/2018,Orthophosphate (P),0.768799848
HOGNW16,11/5/2020,Ammonia (N),0.070406168
HOGNW16,11/5/2020,Nitrate-Nitrite (N),0.346505364
HOGNW16,11/5/2020,Orthophosphate (P),0.162631561
HOGNW16,10/22/2020,Ammonia (N),0.008786351
HOGNW16,10/22/2020,Nitrate-Nitrite (N),0.146508959
HOGNW16,10/22/2020,Orthophosphate (P),0.260922217
HOGNW16,10/8/2020,Ammonia (N),0.013811805
HOGNW16,10/8/2020,Nitrate-Nitrite (N),0.305465649
HOGNW16,10/8/2020,Orthophosphate (P),0.368495742
HOGNW16,9/10/2020,Ammonia (N),0.013481634
HOGNW16,9/10/2020,Nitrate-Nitrite (N),0.077536233
HOGNW16,9/10/2020,Orthophosphate (P),0.12310234
HOGNW16,8/24/2020,Ammonia (N),0.014438093
HOGNW16,8/24/2020,Nitrate-Nitrite (N),0.153138762
HOGNW16,8/24/2020,Orthophosphate (P),0.271013196
HOGNW16,8/14/2020,Ammonia (N),0.103817696
HOGNW16,8/14/2020,Nitrate-Nitrite (N),0.284944721
HOGNW16,8/14/2020,Orthophosphate (P),0.470497874
HOGNW16,7/28/2020,Ammonia (N),0.099783572
HOGNW16,7/28/2020,Nitrate-Nitrite (N),0.401233963
HOGNW16,7/28/2020,Orthophosphate (P),0.44946521
HOGNW16,7/16/2020,Ammonia (N),0.018795568
HOGNW16,7/16/2020,Nitrate-Nitrite (N),0.134179653
HOGNW16,7/16/2020,Orthophosphate (P),0.246011997
HOGNW16,6/26/2020,Ammonia (N),0.188397569
HOGNW16,6/26/2020,Nitrate-Nitrite (N),0.309948434
HOGNW16,6/26/2020,Orthophosphate (P),0.423804601
HOGNW16,3/12/2020,Ammonia (N),0.148249043
HOGNW16,3/12/2020,Nitrate-Nitrite (N),0.329488272
HOGNW16,3/12/2020,Orthophosphate (P),0.542878243
HOGNW16,2/28/2020,Ammonia (N),0.028702453
HOGNW16,2/28/2020,Nitrate-Nitrite (N),0.182699663
HOGNW16,2/28/2020,Orthophosphate (P),0.332325448
HOGNW16,2/12/2020,Ammonia (N),0.021863283
HOGNW16,2/12/2020,Nitrate-Nitrite (N),0.223595767
HOGNW16,2/12/2020,Orthophosphate (P),0.51888027
HOGNW16,1/10/2020,Ammonia (N),0.007849266
HOGNW16,1/10/2020,Nitrate-Nitrite (N),0.293235113
HOGNW16,1/10/2020,Orthophosphate (P),0.358719526
HOGNW16,12/17/2019,Ammonia (N),0.004
HOGNW16,12/17/2019,Nitrate-Nitrite (N),0.267023334
HOGNW16,12/17/2019,Orthophosphate (P),0.520406639
HOGNW16,12/6/2019,Ammonia (N),0.004
HOGNW16,12/6/2019,Nitrate-Nitrite (N),0.434057945
HOGNW16,12/6/2019,Orthophosphate (P),0.545942086
HOGNW16,11/20/2019,Ammonia (N),0.004
HOGNW16,11/20/2019,Nitrate-Nitrite (N),0.384776499
HOGNW16,11/20/2019,Orthophosphate (P),0.379885235
HOGNW16,11/6/2019,Ammonia (N),0.012966382
HOGNW16,11/6/2019,Nitrate-Nitrite (N),0.369866031
HOGNW16,11/6/2019,Orthophosphate (P),0.521518418
HOGNW16,10/23/2019,Ammonia (N),0.004
HOGNW16,10/23/2019,Nitrate-Nitrite (N),0.234764241
HOGNW16,10/23/2019,Orthophosphate (P),0.366199769
HOGNW16,10/9/2019,Ammonia (N),0.004
HOGNW16,10/9/2019,Nitrate-Nitrite (N),0.107032193
HOGNW16,10/9/2019,Orthophosphate (P),0.335568642
HOGNW16,9/25/2019,Ammonia (N),0.007793842
HOGNW16,9/25/2019,Nitrate-Nitrite (N),0.62377103
HOGNW16,9/25/2019,Orthophosphate (P),0.494535627
HOGNW16,9/11/2019,Ammonia (N),0.004
HOGNW16,9/11/2019,Nitrate-Nitrite (N),0.350098382
HOGNW16,9/11/2019,Orthophosphate (P),0.362862386
HOGNW16,8/28/2019,Ammonia (N),0.004
HOGNW16,8/28/2019,Nitrate-Nitrite (N),0.056392266
HOGNW16,8/28/2019,Orthophosphate (P),0.157252933
HOGNW16,8/14/2019,Ammonia (N),0.013430614
HOGNW16,8/14/2019,Nitrate-Nitrite (N),0.150725816
HOGNW16,8/14/2019,Orthophosphate (P),0.159471236
HOGNW16,7/29/2019,Ammonia (N),0.004
HOGNW16,7/29/2019,Nitrate-Nitrite (N),0.103378695
HOGNW16,7/29/2019,Orthophosphate (P),0.154344054
HOGNW16,7/9/2019,Ammonia (N),0.013692619
HOGNW16,7/9/2019,Nitrate-Nitrite (N),0.325686229
HOGNW16,7/9/2019,Orthophosphate (P),0.370227141
HOGNW16,6/18/2019,Ammonia (N),0.004
HOGNW16,6/18/2019,Nitrate-Nitrite (N),0.156441251
HOGNW16,6/18/2019,Orthophosphate (P),0.234085438
HOGNW16,6/6/2019,Ammonia (N),0.004
HOGNW16,6/6/2019,Nitrate-Nitrite (N),0.235144341
HOGNW16,6/6/2019,Orthophosphate (P),0.617707186
HOGNW16,5/24/2019,Ammonia (N),0.185867351
HOGNW16,5/24/2019,Nitrate-Nitrite (N),0.469314955
HOGNW16,5/24/2019,Orthophosphate (P),0.580921765
HOGNW16,5/7/2019,Ammonia (N),0.088477441
HOGNW16,5/7/2019,Nitrate-Nitrite (N),0.286897149
HOGNW16,5/7/2019,Orthophosphate (P),0.412499851
HOGNW16,4/24/2019,Ammonia (N),0.004
HOGNW16,4/24/2019,Nitrate-Nitrite (N),0.406875723
HOGNW16,4/24/2019,Orthophosphate (P),0.470039827
HOGNW16,4/3/2019,Ammonia (N),0.310708087
HOGNW16,4/3/2019,Nitrate-Nitrite (N),0.330384822
HOGNW16,4/3/2019,Orthophosphate (P),0.450222734
HOGNW16,1/25/2019,Ammonia (N),0.005804983
HOGNW16,1/25/2019,Nitrate-Nitrite (N),0.121411043
HOGNW16,1/25/2019,Orthophosphate (P),0.146371716
HOGNW16,1/18/2019,Ammonia (N),0.554385725
HOGNW16,1/18/2019,Nitrate-Nitrite (N),0.313886007
HOGNW16,1/18/2019,Orthophosphate (P),0.321073258
HOGNW16,1/4/2019,Ammonia (N),0.034629322
HOGNW16,1/4/2019,Nitrate-Nitrite (N),0.258040455
HOGNW16,1/4/2019,Orthophosphate (P),0.316035261
HOGNW16,12/20/2018,Ammonia (N),0.497516424
HOGNW16,12/20/2018,Nitrate-Nitrite (N),0.077515069
HOGNW16,12/20/2018,Orthophosphate (P),0.130470035
HOGNW16,12/5/2018,Ammonia (N),0.015021598
HOGNW16,12/5/2018,Nitrate-Nitrite (N),0.12078252
HOGNW16,12/5/2018,Orthophosphate (P),0.106626455
HOGNW16,11/29/2018,Ammonia (N),0.093535927
HOGNW16,11/29/2018,Nitrate-Nitrite (N),0.361108133
HOGNW16,11/29/2018,Orthophosphate (P),0.505655994
HOGNW16,11/13/2018,Ammonia (N),0.026961242
HOGNW16,11/13/2018,Nitrate-Nitrite (N),0.390558138
HOGNW16,11/13/2018,Orthophosphate (P),0.608844237
HOGNW16,11/8/2018,Ammonia (N),0.093571136
HOGNW16,11/8/2018,Nitrate-Nitrite (N),0.433433569
HOGNW16,11/8/2018,Orthophosphate (P),0.600244856
HOGNW16,10/31/2018,Ammonia (N),1.403405768
HOGNW16,10/31/2018,Nitrate-Nitrite (N),0.389160512
HOGNW16,10/31/2018,Orthophosphate (P),0.571091305
HOGNW16,10/18/2018,Ammonia (N),0.052947688
HOGNW16,10/18/2018,Nitrate-Nitrite (N),0.411274752
HOGNW16,10/18/2018,Orthophosphate (P),0.610032133
HOGNW16,9/14/2018,Ammonia (N),0.22657109
HOGNW16,9/14/2018,Nitrate-Nitrite (N),0.398157529
HOGNW16,9/14/2018,Orthophosphate (P),0.419528176
POSNW16,11/5/2020,Ammonia (N),0.059361586
POSNW16,11/5/2020,Nitrate-Nitrite (N),0.513590474
POSNW16,11/5/2020,Orthophosphate (P),0.410197414
POSNW16,10/22/2020,Ammonia (N),0.007646588
POSNW16,10/22/2020,Nitrate-Nitrite (N),0.351510981
POSNW16,10/22/2020,Orthophosphate (P),0.465800612
POSNW16,10/8/2020,Ammonia (N),0.010354731
POSNW16,10/8/2020,Nitrate-Nitrite (N),0.439971979
POSNW16,10/8/2020,Orthophosphate (P),0.731603344
POSNW16,9/10/2020,Ammonia (N),0.012570289
POSNW16,9/10/2020,Nitrate-Nitrite (N),0.131905178
POSNW16,9/10/2020,Orthophosphate (P),0.504860924
POSNW16,8/24/2020,Ammonia (N),0.012937725
POSNW16,8/24/2020,Nitrate-Nitrite (N),0.361757248
POSNW16,8/24/2020,Orthophosphate (P),0.728098185
POSNW16,8/14/2020,Ammonia (N),0.102719052
POSNW16,8/14/2020,Nitrate-Nitrite (N),0.636679275
POSNW16,8/14/2020,Orthophosphate (P),0.866544347
POSNW16,7/28/2020,Ammonia (N),0.089046085
POSNW16,7/28/2020,Nitrate-Nitrite (N),0.647288174
POSNW16,7/28/2020,Orthophosphate (P),0.890825762
POSNW16,7/16/2020,Ammonia (N),0.004922582
POSNW16,7/16/2020,Nitrate-Nitrite (N),0.198179175
POSNW16,7/16/2020,Orthophosphate (P),0.457286778
POSNW16,6/26/2020,Ammonia (N),0.157085392
POSNW16,6/26/2020,Nitrate-Nitrite (N),0.577262519
POSNW16,6/26/2020,Orthophosphate (P),0.87004153
POSNW16,3/12/2020,Ammonia (N),0.183254111
POSNW16,3/12/2020,Nitrate-Nitrite (N),0.678290673
POSNW16,3/12/2020,Orthophosphate (P),0.955768795
POSNW16,2/28/2020,Ammonia (N),0.02796822
POSNW16,2/28/2020,Nitrate-Nitrite (N),0.354564978
POSNW16,2/28/2020,Orthophosphate (P),0.658082598
POSNW16,2/12/2020,Ammonia (N),0.025303956
POSNW16,2/12/2020,Nitrate-Nitrite (N),0.487344587
POSNW16,2/12/2020,Orthophosphate (P),0.941122217
POSNW16,1/10/2020,Ammonia (N),0.097793943
POSNW16,1/10/2020,Nitrate-Nitrite (N),0.592573751
POSNW16,1/10/2020,Orthophosphate (P),0.706525273
POSNW16,12/17/2019,Ammonia (N),0.004
POSNW16,12/17/2019,Nitrate-Nitrite (N),0.496704183
POSNW16,12/17/2019,Orthophosphate (P),0.807797131
POSNW16,11/20/2019,Ammonia (N),0.004
POSNW16,11/20/2019,Nitrate-Nitrite (N),0.813651277
POSNW16,11/20/2019,Orthophosphate (P),0.669823684
POSNW16,11/6/2019,Ammonia (N),0.022765809
POSNW16,11/6/2019,Nitrate-Nitrite (N),0.794062088
